paper_id,cited_by
179660676,225523
244957858,422477
49034894,531080
80325070,531080
91859925,567418
1507281497,598789
56444682,1238551
116922145,1238551
133651055,1309347
15985222,1871655
1491688952,1937999
9645303,2112625
29661792,2117307
1491492379,2451114
4153462,2477769
29661792,3258327
81835341,3709876
1487145866,4165075
1485634486,4166809
1482451543,4310203
116716900,4513054
123659436,4797066
29661792,4806451
29661792,4983780
189491156,4983780
167578196,5402935
33756405,5486890
24765167,5585804
181849460,5641948
81395690,6430066
1487744323,6430066
1496549841,6455561
112010172,6503115
184464456,6688141
94453391,6738442
352957146,6825241
194460822,6837029
1504440765,6933244
196578505,7341430
9811568,7498473
32616104,7544043
49943323,7585623
196466098,7912116
53653168,8258973
137530925,8454456
1497260915,8587209
1501412329,8587209
1482233117,8623215
105680270,8800403
1495524224,9498632
36654961,9639985
205793710,9715319
22745672,9751057
1500290582,9751057
7498473,9811568
29661792,9958333
59164597,9958333
1491719799,9958333
376987247,10040640
98791876,10072121
1495344989,10120196
203056148,10145181
395333906,10242137
100196277,10805170
151437008,10879606
96126854,10993888
163153388,11225822
95214275,11525234
43924973,11745342
89812392,12058999
109636739,12525715
144731842,12544054
28915144,12579861
89812392,12955791
201119561,12955791
96126854,13098871
104645259,13685733
138069762,13685733
194567576,13685733
114330150,13707273
52441815,13730588
122716475,13730588
28538213,13810807
1499725435,13866032
55197417,13910704
130067809,13910704
103141389,13966537
177169120,13976994
1496549841,14027142
3866497,14123280
171975517,14148344
25336591,14175539
32442267,14350660
1496231268,14407020
84206757,14421263
22745672,14430121
1501412329,14543693
1501474050,14869171
178408055,15251254
1492016609,15301037
181982077,15476721
69776077,15772223
1482673858,15977310
1496229429,16033652
88485505,16174593
98509158,16194978
19680847,16279108
125998546,16316369
124063618,16838833
198635313,16864438
127806875,16935977
1500077521,17040717
167123999,17400551
29661792,17789669
68801812,17789669
89893565,17789669
175563506,17789669
52171335,17948340
125480824,17948340
76941152,18024286
1496447628,18055459
110953263,18068044
55650885,18120132
113475142,18328919
155481447,18328919
21455059,18342635
1485069870,18443652
29661792,18750499
33835468,18750499
65713762,18750499
29661792,18994745
74335930,18994745
118997998,18994745
1492949916,19247583
28739840,19363943
107018433,19434086
1487583155,19434086
399021688,19447940
100013628,19503683
1500253167,19558663
16279108,19680847
1489806248,19838340
29661792,20210422
145545596,20269816
203056148,20339587
1457703051,20547057
70811569,20760332
1483005767,20884465
29661792,21456295
194464973,22272193
147564107,22326384
198422097,22478750
1500350767,22934449
29095235,23021225
103436848,23081882
53809769,23710080
1495524224,24075189
121367636,24111845
150886561,24268721
154728897,24442259
370277293,24442259
1479960696,24458637
70512572,24773904
49943323,24815514
93658831,24882511
143062967,25008043
32713153,25019770
338440695,26047137
83932121,26088913
96126854,26484216
1485295947,26903954
29661792,27741901
164221807,27741901
140281460,27792916
121774301,28044850
281665770,28106451
1489992655,28106451
199538472,28126750
223822752,28126750
281665770,28126750
1505924017,28615604
17671468,28733612
1495524224,28941443
17415252,28980756
373628515,28980756
424515255,29141040
165058549,29254079
136659167,29377594
105232971,29413089
120794545,29708079
109144975,30143669
1491328080,30155951
77596585,30228692
149757499,30228692
146142612,30358031
59781478,30528278
1480636508,30559923
1484354517,30609131
29661792,31063736
107199074,31063736
158123262,31112845
333623113,31244878
74363291,31289266
143062967,31294369
306903215,31294369
123114693,31417447
152710008,31516910
14464931,31615857
76984405,31615857
101667962,31723533
194258645,31810032
1493292654,32216397
75496470,32283444
